STATION,NAME,DATE,TAVG,TMAX,TMIN
RSM00023849,"SURGUT, RS",1/1/2015,-20,-16,
RSM00023849,"SURGUT, RS",1/2/2015,-30,,
RSM00023849,"SURGUT, RS",1/3/2015,-37,,
RSM00023849,"SURGUT, RS",1/4/2015,-7,0,-35
RSM00023849,"SURGUT, RS",1/5/2015,4,,-9
RSM00023849,"SURGUT, RS",1/6/2015,21,25,8
RSM00023849,"SURGUT, RS",1/7/2015,16,23,
RSM00023849,"SURGUT, RS",1/8/2015,-19,,
RSM00023849,"SURGUT, RS",1/9/2015,-18,-12,
RSM00023849,"SURGUT, RS",1/10/2015,-28,-27,-29
RSM00023849,"SURGUT, RS",1/11/2015,-20,,-29
RSM00023849,"SURGUT, RS",1/12/2015,4,,-18
RSM00023849,"SURGUT, RS",1/13/2015,10,,2
RSM00023849,"SURGUT, RS",1/14/2015,15,,
RSM00023849,"SURGUT, RS",1/15/2015,16,,
RSM00023849,"SURGUT, RS",1/16/2015,-4,,
RSM00023849,"SURGUT, RS",1/17/2015,-5,2,
RSM00023849,"SURGUT, RS",1/18/2015,11,,-17
RSM00023849,"SURGUT, RS",1/19/2015,23,29,
RSM00023849,"SURGUT, RS",1/20/2015,-8,,
RSM00023849,"SURGUT, RS",1/21/2015,-20,,
RSM00023849,"SURGUT, RS",1/22/2015,-26,,
RSM00023849,"SURGUT, RS",1/23/2015,-29,-23,-35
RSM00023849,"SURGUT, RS",1/24/2015,-8,,
RSM00023849,"SURGUT, RS",1/25/2015,5,9,
RSM00023849,"SURGUT, RS",1/26/2015,6,,1
RSM00023849,"SURGUT, RS",1/27/2015,13,17,4
RSM00023849,"SURGUT, RS",1/28/2015,13,,
RSM00023849,"SURGUT, RS",1/29/2015,12,14,
RSM00023849,"SURGUT, RS",1/30/2015,13,17,
RSM00023849,"SURGUT, RS",1/31/2015,1,,
RSM00023849,"SURGUT, RS",2/1/2015,13,,3
RSM00023849,"SURGUT, RS",2/2/2015,24,,16
RSM00023849,"SURGUT, RS",2/3/2015,22,25,
RSM00023849,"SURGUT, RS",2/4/2015,5,,
RSM00023849,"SURGUT, RS",2/5/2015,11,16,0
RSM00023849,"SURGUT, RS",2/6/2015,9,,3
RSM00023849,"SURGUT, RS",2/7/2015,8,12,
RSM00023849,"SURGUT, RS",2/8/2015,7,,
RSM00023849,"SURGUT, RS",2/9/2015,3,,
RSM00023849,"SURGUT, RS",2/10/2015,11,,-8
RSM00023849,"SURGUT, RS",2/11/2015,17,20,
RSM00023849,"SURGUT, RS",2/12/2015,8,,
RSM00023849,"SURGUT, RS",2/13/2015,17,,-5
RSM00023849,"SURGUT, RS",2/14/2015,15,18,
RSM00023849,"SURGUT, RS",2/15/2015,11,,6
RSM00023849,"SURGUT, RS",2/16/2015,-5,,
RSM00023849,"SURGUT, RS",2/17/2015,-25,-18,
RSM00023849,"SURGUT, RS",2/18/2015,-22,,-36
RSM00023849,"SURGUT, RS",2/19/2015,-4,5,-27
RSM00023849,"SURGUT, RS",2/20/2015,9,16,-2
RSM00023849,"SURGUT, RS",2/21/2015,10,15,
RSM00023849,"SURGUT, RS",2/22/2015,12,,3
RSM00023849,"SURGUT, RS",2/23/2015,22,,4
RSM00023849,"SURGUT, RS",2/24/2015,29,32,
RSM00023849,"SURGUT, RS",2/25/2015,15,,
RSM00023849,"SURGUT, RS",2/26/2015,24,,4
RSM00023849,"SURGUT, RS",2/27/2015,30,33,
RSM00023849,"SURGUT, RS",2/28/2015,23,,
RSM00023849,"SURGUT, RS",3/1/2015,26,,19
RSM00023849,"SURGUT, RS",3/2/2015,25,29,
RSM00023849,"SURGUT, RS",3/3/2015,22,30,
RSM00023849,"SURGUT, RS",3/4/2015,19,30,
RSM00023849,"SURGUT, RS",3/5/2015,-6,4,
RSM00023849,"SURGUT, RS",3/6/2015,1,11,-18
RSM00023849,"SURGUT, RS",3/7/2015,13,22,1
RSM00023849,"SURGUT, RS",3/8/2015,14,23,3
RSM00023849,"SURGUT, RS",3/9/2015,16,,
RSM00023849,"SURGUT, RS",3/10/2015,20,,13
RSM00023849,"SURGUT, RS",3/11/2015,21,32,10
RSM00023849,"SURGUT, RS",3/12/2015,24,33,10
RSM00023849,"SURGUT, RS",3/13/2015,25,,19
RSM00023849,"SURGUT, RS",3/14/2015,28,33,21
RSM00023849,"SURGUT, RS",3/15/2015,26,31,
RSM00023849,"SURGUT, RS",3/16/2015,15,,
RSM00023849,"SURGUT, RS",3/17/2015,28,36,19
RSM00023849,"SURGUT, RS",3/18/2015,33,,
RSM00023849,"SURGUT, RS",3/19/2015,20,,
RSM00023849,"SURGUT, RS",3/20/2015,35,,20
RSM00023849,"SURGUT, RS",3/21/2015,33,,
RSM00023849,"SURGUT, RS",3/22/2015,31,,24
RSM00023849,"SURGUT, RS",3/23/2015,21,33,
RSM00023849,"SURGUT, RS",3/24/2015,5,17,-5
RSM00023849,"SURGUT, RS",3/25/2015,18,26,-3
RSM00023849,"SURGUT, RS",3/26/2015,16,,
RSM00023849,"SURGUT, RS",3/27/2015,0,5,
RSM00023849,"SURGUT, RS",3/28/2015,1,,-12
RSM00023849,"SURGUT, RS",3/29/2015,21,,1
RSM00023849,"SURGUT, RS",3/30/2015,28,34,
RSM00023849,"SURGUT, RS",3/31/2015,28,40,14
RSM00023849,"SURGUT, RS",4/1/2015,31,43,18
RSM00023849,"SURGUT, RS",4/2/2015,29,43,
RSM00023849,"SURGUT, RS",4/3/2015,32,,
RSM00023849,"SURGUT, RS",4/4/2015,34,43,22
RSM00023849,"SURGUT, RS",4/5/2015,36,47,23
RSM00023849,"SURGUT, RS",4/6/2015,38,,25
RSM00023849,"SURGUT, RS",4/7/2015,38,51,26
RSM00023849,"SURGUT, RS",4/29/2015,40,47,26
RSM00023849,"SURGUT, RS",4/30/2015,36,41,
RSM00023849,"SURGUT, RS",5/1/2015,44,67,28
RSM00023849,"SURGUT, RS",5/2/2015,40,47,33
RSM00023849,"SURGUT, RS",5/3/2015,51,,34
RSM00023849,"SURGUT, RS",5/4/2015,57,,
RSM00023849,"SURGUT, RS",5/5/2015,63,73,44
RSM00023849,"SURGUT, RS",5/6/2015,49,,
RSM00023849,"SURGUT, RS",5/7/2015,37,42,
RSM00023849,"SURGUT, RS",5/8/2015,43,,30
RSM00023849,"SURGUT, RS",5/9/2015,39,46,
RSM00023849,"SURGUT, RS",5/10/2015,40,,31
RSM00023849,"SURGUT, RS",5/11/2015,44,52,
RSM00023849,"SURGUT, RS",5/12/2015,54,65,31
RSM00023849,"SURGUT, RS",5/13/2015,61,74,
RSM00023849,"SURGUT, RS",5/14/2015,63,75,43
RSM00023849,"SURGUT, RS",5/15/2015,63,75,
RSM00023849,"SURGUT, RS",5/16/2015,64,77,45
RSM00023849,"SURGUT, RS",5/17/2015,63,74,
RSM00023849,"SURGUT, RS",5/18/2015,63,,46
RSM00023849,"SURGUT, RS",5/19/2015,57,67,
RSM00023849,"SURGUT, RS",5/20/2015,54,66,
RSM00023849,"SURGUT, RS",5/21/2015,44,,
RSM00023849,"SURGUT, RS",5/22/2015,42,46,38
RSM00023849,"SURGUT, RS",5/23/2015,49,,42
RSM00023849,"SURGUT, RS",5/24/2015,48,,
RSM00023849,"SURGUT, RS",5/25/2015,51,59,39
RSM00023849,"SURGUT, RS",5/26/2015,53,58,43
RSM00023849,"SURGUT, RS",5/27/2015,52,64,
RSM00023849,"SURGUT, RS",5/28/2015,46,51,38
RSM00023849,"SURGUT, RS",5/29/2015,44,51,
RSM00023849,"SURGUT, RS",5/30/2015,49,54,34
RSM00023849,"SURGUT, RS",5/31/2015,60,69,42
RSM00023849,"SURGUT, RS",6/1/2015,69,81,54
RSM00023849,"SURGUT, RS",6/2/2015,69,,
RSM00023849,"SURGUT, RS",6/3/2015,66,,51
RSM00023849,"SURGUT, RS",6/4/2015,74,83,52
RSM00023849,"SURGUT, RS",6/5/2015,72,84,
RSM00023849,"SURGUT, RS",6/6/2015,73,83,
RSM00023849,"SURGUT, RS",6/7/2015,71,,
RSM00023849,"SURGUT, RS",6/8/2015,64,69,60
RSM00023849,"SURGUT, RS",6/9/2015,60,65,
RSM00023849,"SURGUT, RS",6/10/2015,52,,
RSM00023849,"SURGUT, RS",6/11/2015,53,60,
RSM00023849,"SURGUT, RS",6/12/2015,59,66,47
RSM00023849,"SURGUT, RS",6/13/2015,62,68,55
RSM00023849,"SURGUT, RS",6/14/2015,56,57,
RSM00023849,"SURGUT, RS",6/15/2015,58,63,
RSM00023849,"SURGUT, RS",6/16/2015,63,,52
RSM00023849,"SURGUT, RS",6/17/2015,71,82,53
RSM00023849,"SURGUT, RS",6/18/2015,74,81,63
RSM00023849,"SURGUT, RS",6/19/2015,65,73,
RSM00023849,"SURGUT, RS",6/20/2015,62,70,
RSM00023849,"SURGUT, RS",6/21/2015,67,72,47
RSM00023849,"SURGUT, RS",6/22/2015,71,82,
RSM00023849,"SURGUT, RS",6/23/2015,66,74,
RSM00023849,"SURGUT, RS",6/24/2015,56,64,
RSM00023849,"SURGUT, RS",6/25/2015,63,69,50
RSM00023849,"SURGUT, RS",6/26/2015,67,72,55
RSM00023849,"SURGUT, RS",6/27/2015,72,80,59
RSM00023849,"SURGUT, RS",6/28/2015,77,84,62
RSM00023849,"SURGUT, RS",6/29/2015,78,87,
RSM00023849,"SURGUT, RS",6/30/2015,69,87,
RSM00023849,"SURGUT, RS",7/1/2015,60,63,56
RSM00023849,"SURGUT, RS",7/2/2015,62,,58
RSM00023849,"SURGUT, RS",7/3/2015,61,72,
RSM00023849,"SURGUT, RS",7/4/2015,46,52,
RSM00023849,"SURGUT, RS",7/5/2015,49,55,38
RSM00023849,"SURGUT, RS",7/6/2015,55,62,47
RSM00023849,"SURGUT, RS",7/7/2015,56,63,51
RSM00023849,"SURGUT, RS",7/8/2015,54,56,
RSM00023849,"SURGUT, RS",7/9/2015,53,61,
RSM00023849,"SURGUT, RS",7/10/2015,58,67,
RSM00023849,"SURGUT, RS",7/11/2015,60,,49
RSM00023849,"SURGUT, RS",7/12/2015,65,,50
RSM00023849,"SURGUT, RS",7/13/2015,68,81,
RSM00023849,"SURGUT, RS",7/14/2015,62,,55
RSM00023849,"SURGUT, RS",7/15/2015,64,70,
RSM00023849,"SURGUT, RS",7/16/2015,62,70,
RSM00023849,"SURGUT, RS",7/17/2015,65,,54
RSM00023849,"SURGUT, RS",7/18/2015,68,77,59
RSM00023849,"SURGUT, RS",7/19/2015,62,74,
RSM00023849,"SURGUT, RS",7/20/2015,56,,
RSM00023849,"SURGUT, RS",7/21/2015,67,75,57
RSM00023849,"SURGUT, RS",7/22/2015,70,,60
RSM00023849,"SURGUT, RS",7/23/2015,67,74,63
RSM00023849,"SURGUT, RS",7/24/2015,66,,
RSM00023849,"SURGUT, RS",7/25/2015,60,63,52
RSM00023849,"SURGUT, RS",7/26/2015,64,70,55
RSM00023849,"SURGUT, RS",7/27/2015,61,,58
RSM00023849,"SURGUT, RS",7/28/2015,66,,
RSM00023849,"SURGUT, RS",7/29/2015,64,72,
RSM00023849,"SURGUT, RS",7/30/2015,60,70,
RSM00023849,"SURGUT, RS",7/31/2015,67,76,50
RSM00023849,"SURGUT, RS",8/1/2015,68,76,61
RSM00023849,"SURGUT, RS",8/2/2015,72,80,60
RSM00023849,"SURGUT, RS",8/3/2015,65,,
RSM00023849,"SURGUT, RS",8/4/2015,63,71,
RSM00023849,"SURGUT, RS",8/5/2015,60,70,51
RSM00023849,"SURGUT, RS",8/6/2015,53,58,
RSM00023849,"SURGUT, RS",8/7/2015,53,,50
RSM00023849,"SURGUT, RS",8/8/2015,56,,50
RSM00023849,"SURGUT, RS",8/9/2015,54,60,
RSM00023849,"SURGUT, RS",8/10/2015,55,62,47
RSM00023849,"SURGUT, RS",8/11/2015,58,66,50
RSM00023849,"SURGUT, RS",8/12/2015,59,68,49
RSM00023849,"SURGUT, RS",8/13/2015,58,66,
RSM00023849,"SURGUT, RS",8/14/2015,53,,
RSM00023849,"SURGUT, RS",8/15/2015,56,,42
RSM00023849,"SURGUT, RS",8/16/2015,59,68,
RSM00023849,"SURGUT, RS",8/17/2015,56,62,50
RSM00023849,"SURGUT, RS",8/18/2015,52,54,
RSM00023849,"SURGUT, RS",8/19/2015,53,56,50
RSM00023849,"SURGUT, RS",8/20/2015,51,54,
RSM00023849,"SURGUT, RS",8/21/2015,50,56,
RSM00023849,"SURGUT, RS",8/22/2015,46,,
RSM00023849,"SURGUT, RS",8/23/2015,47,52,39
RSM00023849,"SURGUT, RS",8/24/2015,47,51,
RSM00023849,"SURGUT, RS",8/25/2015,45,54,
RSM00023849,"SURGUT, RS",8/26/2015,49,57,32
RSM00023849,"SURGUT, RS",8/27/2015,49,56,43
RSM00023849,"SURGUT, RS",8/28/2015,52,,44
RSM00023849,"SURGUT, RS",8/29/2015,50,54,46
RSM00023849,"SURGUT, RS",8/30/2015,47,50,
RSM00023849,"SURGUT, RS",8/31/2015,52,59,40
RSM00023849,"SURGUT, RS",9/1/2015,57,60,52
RSM00023849,"SURGUT, RS",9/2/2015,52,58,
RSM00023849,"SURGUT, RS",9/3/2015,49,,
RSM00023849,"SURGUT, RS",9/4/2015,48,53,40
RSM00023849,"SURGUT, RS",9/5/2015,49,56,
RSM00023849,"SURGUT, RS",9/6/2015,53,,41
RSM00023849,"SURGUT, RS",9/7/2015,54,,
RSM00023849,"SURGUT, RS",9/8/2015,54,,
RSM00023849,"SURGUT, RS",9/9/2015,62,,55
RSM00023849,"SURGUT, RS",9/10/2015,58,65,
RSM00023849,"SURGUT, RS",9/11/2015,46,52,
RSM00023849,"SURGUT, RS",9/12/2015,43,49,
RSM00023849,"SURGUT, RS",9/13/2015,42,,
RSM00023849,"SURGUT, RS",9/14/2015,40,43,34
RSM00023849,"SURGUT, RS",9/15/2015,40,47,
RSM00023849,"SURGUT, RS",9/16/2015,38,43,
RSM00023849,"SURGUT, RS",9/17/2015,39,45,31
RSM00023849,"SURGUT, RS",9/18/2015,42,46,34
RSM00023849,"SURGUT, RS",9/19/2015,43,49,36
RSM00023849,"SURGUT, RS",9/20/2015,41,45,
RSM00023849,"SURGUT, RS",9/21/2015,41,,35
RSM00023849,"SURGUT, RS",9/22/2015,40,43,
RSM00023849,"SURGUT, RS",9/23/2015,38,45,
RSM00023849,"SURGUT, RS",9/24/2015,38,,
RSM00023849,"SURGUT, RS",9/25/2015,35,,
RSM00023849,"SURGUT, RS",9/26/2015,37,49,24
RSM00023849,"SURGUT, RS",9/27/2015,44,,27
RSM00023849,"SURGUT, RS",9/28/2015,48,52,
RSM00023849,"SURGUT, RS",9/29/2015,34,37,
RSM00023849,"SURGUT, RS",9/30/2015,29,,
RSM00023849,"SURGUT, RS",10/1/2015,31,,
RSM00023849,"SURGUT, RS",10/2/2015,32,,
RSM00023849,"SURGUT, RS",10/3/2015,38,40,31
RSM00023849,"SURGUT, RS",10/4/2015,35,39,
RSM00023849,"SURGUT, RS",10/5/2015,32,,30
RSM00023849,"SURGUT, RS",10/6/2015,35,,32
RSM00023849,"SURGUT, RS",10/7/2015,33,,
RSM00023849,"SURGUT, RS",10/8/2015,33,34,31
RSM00023849,"SURGUT, RS",10/9/2015,38,45,
RSM00023849,"SURGUT, RS",10/10/2015,34,,29
RSM00023849,"SURGUT, RS",10/11/2015,35,,28
RSM00023849,"SURGUT, RS",10/12/2015,34,38,
RSM00023849,"SURGUT, RS",10/13/2015,28,,
RSM00023849,"SURGUT, RS",10/14/2015,26,,
RSM00023849,"SURGUT, RS",10/15/2015,19,,
RSM00023849,"SURGUT, RS",10/16/2015,20,23,17
RSM00023849,"SURGUT, RS",10/17/2015,20,,17
RSM00023849,"SURGUT, RS",10/18/2015,27,,20
RSM00023849,"SURGUT, RS",10/19/2015,19,,
RSM00023849,"SURGUT, RS",10/20/2015,9,,
RSM00023849,"SURGUT, RS",10/21/2015,-1,,
RSM00023849,"SURGUT, RS",10/22/2015,9,,-9
RSM00023849,"SURGUT, RS",10/23/2015,24,,
RSM00023849,"SURGUT, RS",10/24/2015,32,34,28
RSM00023849,"SURGUT, RS",10/25/2015,31,33,
RSM00023849,"SURGUT, RS",10/26/2015,31,33,27
RSM00023849,"SURGUT, RS",10/27/2015,30,31,27
RSM00023849,"SURGUT, RS",10/28/2015,32,,29
RSM00023849,"SURGUT, RS",10/29/2015,33,,31
RSM00023849,"SURGUT, RS",10/30/2015,28,,
RSM00023849,"SURGUT, RS",10/31/2015,18,20,
RSM00023849,"SURGUT, RS",11/1/2015,14,18,10
RSM00023849,"SURGUT, RS",11/2/2015,13,,
RSM00023849,"SURGUT, RS",11/3/2015,19,,11
RSM00023849,"SURGUT, RS",11/4/2015,30,,20
RSM00023849,"SURGUT, RS",11/5/2015,32,,
RSM00023849,"SURGUT, RS",11/6/2015,31,,30
RSM00023849,"SURGUT, RS",11/7/2015,28,32,
RSM00023849,"SURGUT, RS",11/8/2015,17,20,
RSM00023849,"SURGUT, RS",11/9/2015,14,16,
RSM00023849,"SURGUT, RS",11/10/2015,3,,
RSM00023849,"SURGUT, RS",11/11/2015,-1,1,-5
RSM00023849,"SURGUT, RS",11/12/2015,0,,
RSM00023849,"SURGUT, RS",11/13/2015,1,,-7
RSM00023849,"SURGUT, RS",11/14/2015,1,,
RSM00023849,"SURGUT, RS",11/15/2015,-7,0,
RSM00023849,"SURGUT, RS",11/16/2015,-9,-3,-14
RSM00023849,"SURGUT, RS",11/17/2015,-8,,
RSM00023849,"SURGUT, RS",11/18/2015,0,5,-14
RSM00023849,"SURGUT, RS",11/19/2015,-6,,
RSM00023849,"SURGUT, RS",11/20/2015,-12,-7,
RSM00023849,"SURGUT, RS",11/21/2015,-12,,-18
RSM00023849,"SURGUT, RS",11/22/2015,-5,,-12
RSM00023849,"SURGUT, RS",11/23/2015,6,,-7
RSM00023849,"SURGUT, RS",11/24/2015,11,,
RSM00023849,"SURGUT, RS",11/25/2015,19,,8
RSM00023849,"SURGUT, RS",11/26/2015,20,,
RSM00023849,"SURGUT, RS",11/27/2015,19,21,
RSM00023849,"SURGUT, RS",11/28/2015,20,22,17
RSM00023849,"SURGUT, RS",11/29/2015,16,,
RSM00023849,"SURGUT, RS",11/30/2015,28,32,13
RSM00023849,"SURGUT, RS",12/1/2015,28,,
RSM00023849,"SURGUT, RS",12/2/2015,21,,
RSM00023849,"SURGUT, RS",12/3/2015,16,,
RSM00023849,"SURGUT, RS",12/4/2015,19,,16
RSM00023849,"SURGUT, RS",12/5/2015,19,20,
RSM00023849,"SURGUT, RS",12/6/2015,13,,
RSM00023849,"SURGUT, RS",12/7/2015,24,,10
RSM00023849,"SURGUT, RS",12/8/2015,29,,27
RSM00023849,"SURGUT, RS",12/9/2015,27,,
RSM00023849,"SURGUT, RS",12/10/2015,17,20,
RSM00023849,"SURGUT, RS",12/11/2015,18,,10
RSM00023849,"SURGUT, RS",12/12/2015,17,32,
RSM00023849,"SURGUT, RS",12/13/2015,7,,-13
RSM00023849,"SURGUT, RS",12/14/2015,24,,16
RSM00023849,"SURGUT, RS",12/15/2015,11,,
RSM00023849,"SURGUT, RS",12/16/2015,6,,3
RSM00023849,"SURGUT, RS",12/17/2015,3,,
RSM00023849,"SURGUT, RS",12/18/2015,-10,,
RSM00023849,"SURGUT, RS",12/19/2015,-19,,
RSM00023849,"SURGUT, RS",12/20/2015,-28,,
RSM00023849,"SURGUT, RS",12/21/2015,-28,,-33
RSM00023849,"SURGUT, RS",12/22/2015,-14,,-31
RSM00023849,"SURGUT, RS",12/23/2015,-5,,-14
RSM00023849,"SURGUT, RS",12/24/2015,-2,1,
RSM00023849,"SURGUT, RS",12/25/2015,-3,,-6
RSM00023849,"SURGUT, RS",12/26/2015,3,,-5
RSM00023849,"SURGUT, RS",12/27/2015,1,,
RSM00023849,"SURGUT, RS",12/28/2015,-8,-3,
RSM00023849,"SURGUT, RS",12/29/2015,-13,,-19
RSM00023849,"SURGUT, RS",12/30/2015,-16,,-21
RSM00023849,"SURGUT, RS",12/31/2015,-12,,
RSM00023849,"SURGUT, RS",1/1/2016,-14,-7,
RSM00023849,"SURGUT, RS",1/2/2016,-22,,
RSM00023849,"SURGUT, RS",1/3/2016,-18,-15,-24
RSM00023849,"SURGUT, RS",1/4/2016,-17,,-22
RSM00023849,"SURGUT, RS",1/5/2016,-16,-13,
RSM00023849,"SURGUT, RS",1/6/2016,-9,,-18
RSM00023849,"SURGUT, RS",1/7/2016,-4,-2,
RSM00023849,"SURGUT, RS",1/8/2016,-17,,
RSM00023849,"SURGUT, RS",1/9/2016,-4,,-22
RSM00023849,"SURGUT, RS",1/10/2016,6,,-2
RSM00023849,"SURGUT, RS",1/11/2016,13,,4
RSM00023849,"SURGUT, RS",1/12/2016,17,,14
RSM00023849,"SURGUT, RS",1/13/2016,20,22,18
RSM00023849,"SURGUT, RS",1/14/2016,16,,
RSM00023849,"SURGUT, RS",1/15/2016,6,,
RSM00023849,"SURGUT, RS",1/16/2016,-6,,
RSM00023849,"SURGUT, RS",1/17/2016,-21,,
RSM00023849,"SURGUT, RS",1/18/2016,-26,-21,
RSM00023849,"SURGUT, RS",1/19/2016,-16,,-29
RSM00023849,"SURGUT, RS",1/20/2016,-2,,-15
RSM00023849,"SURGUT, RS",1/21/2016,5,,1
RSM00023849,"SURGUT, RS",1/22/2016,5,,
RSM00023849,"SURGUT, RS",1/23/2016,0,,
RSM00023849,"SURGUT, RS",1/24/2016,-1,,-10
RSM00023849,"SURGUT, RS",1/25/2016,1,5,-3
RSM00023849,"SURGUT, RS",1/26/2016,1,,-3
RSM00023849,"SURGUT, RS",1/27/2016,-4,5,
RSM00023849,"SURGUT, RS",1/28/2016,-3,3,-13
RSM00023849,"SURGUT, RS",1/29/2016,-6,-2,-10
RSM00023849,"SURGUT, RS",1/30/2016,-3,,
RSM00023849,"SURGUT, RS",1/31/2016,1,,-3
RSM00023849,"SURGUT, RS",2/1/2016,2,,-3
RSM00023849,"SURGUT, RS",2/2/2016,19,22,2
RSM00023849,"SURGUT, RS",2/3/2016,23,27,
RSM00023849,"SURGUT, RS",2/4/2016,19,23,
RSM00023849,"SURGUT, RS",2/5/2016,16,,
RSM00023849,"SURGUT, RS",2/6/2016,19,27,
RSM00023849,"SURGUT, RS",2/7/2016,12,,6
RSM00023849,"SURGUT, RS",2/8/2016,11,15,
RSM00023849,"SURGUT, RS",2/9/2016,-6,,
RSM00023849,"SURGUT, RS",2/10/2016,4,,
RSM00023849,"SURGUT, RS",2/11/2016,19,,13
RSM00023849,"SURGUT, RS",2/12/2016,21,,18
RSM00023849,"SURGUT, RS",2/13/2016,23,,
RSM00023849,"SURGUT, RS",2/14/2016,22,24,19
RSM00023849,"SURGUT, RS",2/15/2016,22,,
RSM00023849,"SURGUT, RS",2/16/2016,13,23,
RSM00023849,"SURGUT, RS",2/17/2016,15,,
RSM00023849,"SURGUT, RS",2/18/2016,18,,11
RSM00023849,"SURGUT, RS",2/19/2016,17,,
RSM00023849,"SURGUT, RS",2/20/2016,16,,5
RSM00023849,"SURGUT, RS",2/21/2016,17,25,
RSM00023849,"SURGUT, RS",2/22/2016,20,23,7
RSM00023849,"SURGUT, RS",2/23/2016,19,,
RSM00023849,"SURGUT, RS",2/24/2016,27,32,
RSM00023849,"SURGUT, RS",2/25/2016,30,,19
RSM00023849,"SURGUT, RS",2/26/2016,35,,30
RSM00023849,"SURGUT, RS",2/27/2016,34,,
RSM00023849,"SURGUT, RS",2/28/2016,29,32,25
RSM00023849,"SURGUT, RS",2/29/2016,23,,
RSM00023849,"SURGUT, RS",3/1/2016,20,25,13
RSM00023849,"SURGUT, RS",3/2/2016,7,,
RSM00023849,"SURGUT, RS",3/3/2016,2,13,
RSM00023849,"SURGUT, RS",3/4/2016,-1,9,-13
RSM00023849,"SURGUT, RS",3/5/2016,-4,6,-14
RSM00023849,"SURGUT, RS",3/6/2016,0,,-13
RSM00023849,"SURGUT, RS",3/7/2016,11,,-3
RSM00023849,"SURGUT, RS",3/8/2016,17,24,9
RSM00023849,"SURGUT, RS",3/9/2016,16,27,
RSM00023849,"SURGUT, RS",3/10/2016,23,27,4
RSM00023849,"SURGUT, RS",3/11/2016,29,,22
RSM00023849,"SURGUT, RS",3/12/2016,28,33,25
RSM00023849,"SURGUT, RS",3/13/2016,17,,
RSM00023849,"SURGUT, RS",3/14/2016,-5,,
RSM00023849,"SURGUT, RS",3/15/2016,9,18,-12
RSM00023849,"SURGUT, RS",3/16/2016,18,,
RSM00023849,"SURGUT, RS",3/17/2016,14,,8
RSM00023849,"SURGUT, RS",3/18/2016,23,27,16
RSM00023849,"SURGUT, RS",3/19/2016,30,36,
RSM00023849,"SURGUT, RS",3/20/2016,31,40,
RSM00023849,"SURGUT, RS",3/21/2016,25,,23
RSM00023849,"SURGUT, RS",3/22/2016,23,,
RSM00023849,"SURGUT, RS",3/23/2016,20,,
RSM00023849,"SURGUT, RS",3/24/2016,25,33,
RSM00023849,"SURGUT, RS",3/25/2016,25,,
RSM00023849,"SURGUT, RS",3/26/2016,22,33,
RSM00023849,"SURGUT, RS",3/27/2016,20,31,3
RSM00023849,"SURGUT, RS",3/28/2016,24,34,12
RSM00023849,"SURGUT, RS",3/29/2016,27,38,11
RSM00023849,"SURGUT, RS",3/30/2016,31,43,19
RSM00023849,"SURGUT, RS",3/31/2016,36,,19
RSM00023849,"SURGUT, RS",4/1/2016,38,51,24
RSM00023849,"SURGUT, RS",4/2/2016,39,50,23
RSM00023849,"SURGUT, RS",4/3/2016,38,50,
RSM00023849,"SURGUT, RS",4/4/2016,38,48,
RSM00023849,"SURGUT, RS",4/5/2016,35,42,26
RSM00023849,"SURGUT, RS",4/6/2016,36,42,28
RSM00023849,"SURGUT, RS",4/7/2016,38,,
RSM00023849,"SURGUT, RS",4/8/2016,34,42,
RSM00023849,"SURGUT, RS",4/9/2016,39,48,23
RSM00023849,"SURGUT, RS",4/10/2016,36,40,
RSM00023849,"SURGUT, RS",4/11/2016,33,38,
RSM00023849,"SURGUT, RS",4/12/2016,23,27,
RSM00023849,"SURGUT, RS",4/13/2016,26,33,
